sequence pc instruction hart priv target target_num data waw
0 80000000 00100093 0 3 GPR 1 00000011 0
0 80001000 10100093 1 3 GPR 1 00000101 0
1 80000004 00200113 0 3 GPR 2 00000000 1
2 80000008 02200113 0 3 GPR 2 00000022 0
3 8000000c 00002183 0 3 GPR 3 00000000 1
1 80001004 0241c233 1 3 GPR 4 00000000 1
4 80000010 05500293 0 3 GPR 5 00000055 0
2 80001008 06600313 1 3 GPR 6 00000066 0
5 80000014 00002383 0 3 GPR 7 00000077 0
3 8000100c 00002403 1 3 GPR 8 00000088 0
6 80000018 30041073 0 3 CSR 768 00000008 0
4 80001010 00000063 1 3 NONE 0 00000000 0
